Index	CommitMessage	Classification
10	core allow for injector to be specified when creating an embedded view add support for passing in an optional injector when creating an embedded view through viewcontainerrefcreateembeddedview and templaterefcreateembeddedview the injector allows for the di behavior to be customized within the specific template this is a second stab at the change in the difference this time is that the new injector act a a node injector rather than a module injector fix pr close 	feat
11	common make nglocalization token treeshakable this commit update the nglocalization token to become treeshakable v using a direct reference to that token in the provider section of the commonmodule the nglocalization token is used for apps that use in and for other apps it would be excluded from the bundle pr close 	perf
12	form split up modelts modelts is currently extremely large this is the first step in an attempt to refactor it to be more easily navigable and reviewable this commit break up modelts into the following new file modelabstractmodelts the remainder of the model including the abstractcontrol base class and helper function which are used throughout modelformcontrolts formcontrol formcontroloptions and helper plus the constructor and untyped friend modelformarrayts formarray and untyped friend modelformgroupts formgroup and untyped friend this first phase is a purely mechanical code move there is no new code at all and no interface have been separated pr close 	refactor
13	core remove individual command for updating gold file the documented command for updating the form gold file wa outdated and didnt work since this command list can easily become outdated remove the individual command in favor of the simpler global script pr close 	fix
14	zonejs for legacy browser still use hard coding eventnames for legacy browser we still use the eventnames array to patch event instead of using objectgetownpropertynames to keep backward compatibility pr close 	refactor
15	zonejs remove onprop eventnames array to reduce the bundle size zonejs support the google closure compiler in the advance optimization mode to prevent closure compiler modify the onproperty name such a elementprototypeonclick zonejs implement the onproperty patch logic by declaring all the event name in the source code this increase the bundle size and also require updating the event name array to keep the information updated now google closure compiler ha the required event name defined in the builtin extern file so zonejs can use more simple implementation and decrease the bundle size of zonejs about k pr close 	refactor
16	router take only the first emitted value of every resolver to make it consistent with guard the router used to wait for the resolvers to complete and take the last value the change here take only the first emitted value of every resolver and proceed the navigation this match how other guard work in the router code resolve breaking change previously resolvers were waiting to be completed before proceeding with the navigation and the router would take the last value emitted from the resolver the router now take only the first emitted value by the resolvers and then proceeds with navigation this is now consistent with observables returned by other guard only the first value is used pr close 	refactor
17	form move getrawvalue into the abstractcontrol hierarchy currently there is a freestanding getrawvalue function which examines the type of the control this is an issue for refactoring modelts because it creates unnecessary dependency between the abstractcontrol class it is cleaner to simply add this method to the model hierarchy and call it directly and will ease upcoming refactoring pr close 	refactor
18	form move getrawvalue into the abstractcontrol hierarchy currently there is a freestanding getrawvalue function which examines the type of the control this is an issue for refactoring modelts because it creates unnecessary dependency between the abstractcontrol class it is cleaner to simply add this method to the model hierarchy and call it directly and will ease upcoming refactoring pr close 	refactor
19	form add untyped version of the model class for use in migration we had previously introduced an anyforuntypedforms type alias however given our updated migration plan we actually want to use alias for the model class themselves this commit introduces these alias and add them to the public api it must be merged before the type in order to migrate google pr close 	feat
20	core allow for injector to be specified when creating an embedded view add support for passing in an optional injector when creating an embedded view through viewcontainerrefcreateembeddedview and templaterefcreateembeddedview the injector allows for the di behavior to be customized within the specific template this is a second stab at the change in the difference this time is that the new injector act a a node injector rather than a module injector fix pr close 	feat
21	zonejs add promiseany implementation implement promiseany introduced in e close pr close 	feat
22	form clean up the find function move find into the abstractcontrol hierarchy and clean up a longstanding implementation todo pr close 	refactor
23	docsinfra fix the stackblitz on page inexample the previous configuration didnt allow to serve in any language fix pr close 	docs
24	core only track lviews that are referenced in ngcontext followup to where every lview that wa being created wa tracked in the trackedlviews map this isnt necessary because we only need to track the view that have been referenced by an ngcontext pr close 	perf
25	router refactor error in applyredirects to use common throwerror function the implementation of throwerror in rxjs is identical to what is done manually in the router code pr close 	refactor
26	router update match result to be more explicit the lastchild property in the match result is only used to compute the remaining segment ie the one which were not consumed the updated type here make it easier to use and more clear pr close 	refactor
27	localize update version of babel the angularlocalize package depends on a version of babel that is two year old so this commit update to the latest version some change were made to the linker and compliance test to account for slight change in source map along with a few code update because of change to the typing of babel pr close 	refactor
28	animation fix flaky animation ee test this add a m wait to the animation test to ensure they are fully done animating before asserting pr close 	test
29	router fix type of routepathmatch to be more accurate routepathmatch only allows fullprefix in reality this commit adjusts the type to be more strict and also add a migration to adjust existing code resolve breaking change the type of routepathmatch is now more strict place that use pathmatch will likely need to be updated to have an explicit routeroutes type so that typescript doe not infer the type a string pr close 	fix
30	animation add route animation delay to page test pr introduced an animation for pagestabs transition in the animation example application after such change intermittent ee failure started to occur see for example add a delay to account for such animation to all the animation pagestabs ee test so to fix the flakyness caused by the animation pr close 	test
31	change script ownerdocument in jsonp teardown handler cancel pending json handler by adopting it script element into another document this way the browser will prevent the script from being parsed and executed fix pr close 	refactor
32	common canceled jsonp request wont throw console error with missing callback function this commit fix a usecase where unsubscribing from a jsonp request will result in uncaught referenceerror ngjsonpcallbackxy is not defined thrown into console unsubscribing wont remove it associated callback function because the requested script will finish loading anyway and will try to call the handler pr close pr close 	fix
33	localize avoid import into compilercli package the compilerclis declaration file are not necessarily compatible with web environment that use angularlocalize and would inadvertently include typescript declaration file in any compilation unit that us angularlocalize which increase parsing time and memory usage during build using a default import that only typechecks when allowsyntheticdefaultimports is enabled fix pr close 	fix
34	common remove initial navigation since it may redirect to debughtml the should unregister a url change listener may fail in firefox randomly because of the initialnavigation being set to true this may navigate to debughtml and the router throw an error can not match any route debughtml pr close 	test
35	animation allow animation with unsupported cs property currently animation with unsupported cs property cause a hard error and the crash of the animation itself instead of this behaviour just ignore such property and provide a warning for the developer in the console only in dev mode this change also introduces a general way to present warning in the animation code resolve pr close 	fix
36	zonejs update electron patch to support electronremote close from electron the callbacksregistry is moved to electronremote package so all remote call between main process and renderer process is not being patched since the new version of electron released also callbacksregistry is not exported outside so this commit make a hack patch to load callbacksregistry from electronremotedistsrcrenderercallbacksregistry for patching pr close 	feat
37	docsinfra removed duplicated style in aio example removed duplicated style in aio example sc file pr close 	fix
38	animation make animationdrivergetparentelement required this change is a follow up to to make animationdrivergetparentelement a required method which allows removing the slow path for the animation namespace insertion logic breaking change the animationdrivergetparentelement method ha become required so any implementors of this interface are now required to provide an implementation for this method this breakage is unlikely to affect application developer a animationdriver is not expected to be implemented in user code pr close 	refactor
39	compiler remove usage of deprecated ast creation function proactively replaces our usage of the deprecated tscreate method in favor of using tsfactorycreate so that were not surprised when the t remove them in the future also account for some case where the signature had changed pr close 	refactor
40	compilercli support resolve animation name from the dts before this the compiler resolve the value in the dts a dynamic if the trigger is imported from angularanimations this pr will use ffr to simulate the actual implementation in j and extract the animation name pr close 	fix
41	core make localeid and other token from applicationmodule treeshakable the applicationmodule module ha a number of token declared a nontreeshakable provider this commit update them to make treeshakable pr close 	perf
42	core make compiler applicationref and applicationinitstatus treeshakable the compiler applicationref and applicationinitstatus class are registered a nontreeshakable provider in the applicationmodule this commit convert them to the treeshakable provider instead pr close 	perf
43	core drop unused scheduler provider the scheduler provider wa used previously when both viewengine and ivy code wa present after some prior refactoring all reference to the scheduler token were removed but the token itself remains present in the applicationmodule which make it nontreeshakable this commit remove the scheduler token a unused pr close 	refactor
44	docsinfra make hamburger menu non focusable when not visible the header hamburger menu get removed from the page by moving it outside the screen it can however still be accessed via keyboard navigation add a visibility hidden to the element to prevent such behavior pr close 	fix
45	animation remove query call in animation example the query call used for the transition between the home and about tab doesnt work a intented since it doesnt find any matching element remove such quering since it is not needed pr close 	docs
46	form remove type duplicate from button in reactiveforms example pr close 	docs
47	core avoid storing lview in ngcontext these change combine and currently we save a reference to an lview on most dom node created by angular either by saving the lview directly in the ngcontext or by saving the lcontext which ha a reference to the lview this can be a problem if the dom node is retained in memory because the lview ha reference to all of the child node of the view a well a other internal data structure previously we tried to resolve the issue by clearing the ngcontext when a node is removed see but we decided not to proceeed because it can slow down destruction due to a megamorphic write these change aim to address the issue while reducing the performance impact by assigning a unique id when an lview is created and adding it to ngcontext all active view are tracked in a map where their unique id is used a the key we dont need to worry about leak within that map because lviews are an internal data structure and we have complete control over when they are created and destroyed fix pr close 	perf
48	zonejs add integration test for zonejs mocha patch add integration test for mocha patch from zonejs to verify the issue is fixed pr close 	test
49	zonejs patch global instead of mocha object close in the new version fo mocha all global test function are from global object instead of mocha object adn the current zonejs mocha patch logic look like this globaldescribe mochadescribe function return originalmochadescribeapplythis argument and originalmochadescribe is the unpathced mocha implementation look like this function describe return contextdescribe and the context will finally delegate to globaldescribe so the current zonejs patch cause infinite loop this commit will not patch function of mocha object any longer pr close 	fix
50	animation improve algorithm to balance animation namespaces the prior approach would consider all existing namespaces from back to front to find the one thats the closest ancestor for a given host element an expensive contains operation wa used which needed to traverse all the way up the document root for each existing namespace this commit implement an optimization where the closest namespace is found by traversing up from the host element avoiding repeated dom traversal close pr close 	perf
51	core make iterablediffers and keyvaluediffers treeshakable this commit removed reference to the iterablediffers and keyvaluediffers class from the applicationmodule which effectively make them treeshakable both class have prov static field with the right setup so theyll be properly initialized when referenced pr close 	perf
52	localize fix angularjson syntax error about in in chapter internationlization at section deploy multiple locale the syntax for angularjson is wrong close pr close 	docs
53	animation fix ee intermittent failure this address a problem with animation ee test that were failing intermittently due to a missing timeout value pr close 	test
54	animation clarify information about query with leave add information to the query api doc clarifying that element with a trigger can be queried via leave when their parent is leaving this exception is potentially something to be changed see but for the time being the doc can be updated to make the user aware of such behavior pr close 	docs
55	core move animationmoduletype injection token into core move the animationmoduletype di token into core so that library like material dont have to introduce a dependency to animation only to figure out whether animation are disabled pr close 	feat
56	common cleanup url change listener when the root view is removed the location creates the urlchangesubscription when the onurlchange is called for the first time the subscription next function capture this and prevents the location from being garbage collected when the root view is removed pr close 	fix
57	docsinfra fix broken link in glossary fix broken link in glossary document pr close 	fix
58	animation improve aio animation guide info around enterleave improve the aio animation guide information around element entering and leaving this includes querying them their transition and also improvement to the animation guide live example pr close 	docs
59	docsinfra upgrade cli command doc source to acff updating angularmaster from clibuildsmaster relevant change in commit range modified helpextractinjson pr close 	build
60	docsinfra replace deprecated topromise usage this commit replaces deprecated observabletopromise usage with lastvaluefrom pr close 	refactor
61	docsinfra replace deprecated subscribe usage this commit replaces deprecated observablesubscribe usage pr close 	refactor
62	deprecated symbol used support for passing an error value to throwerror method will be removed in v of rxjs more info at pr close 	refactor
63	animation made error in the animation package tree shakeable this move all the error string into exported function that can be tree shaken away pr close 	perf
64	zonejs fix several test case which trigger done multiple time several test case trigger the done multiple time and cause warning from jasmine this commit fix these test case pr close 	fix
65	zonejs asynctest should only call done once asynctestzonespec trigger jasmine done function multiple time and cause warning an asynchronous function called it done callback more than once this is a bug in the spec beforeall beforeeach afterall or aftereach function in question this will be treated a an error in a future version see for more information the reproduce case will be running some zonerun inside waitforasync itmultiple done waitforasync zonecurrentrun zonecurrentrun the reason the done is called in the oninvoke hook is to handle the case that the testbody is totally sync but we should only do this check for the entry function not for all zonerun scenario another issue is if we run nested zone inside waitforasync the onhastask hook will be triggered multiple time and cause done be triggered multiple time so we need to only trigger the done when the zone is asynctestzone pr close 	fix
66	form improve email validator directive doc pr close 	docs
67	core viewcontainerrefcreatecomponent should consult module injector when custom one is provided before ivy it wa only possible to call the viewcontainerrefcreatecomponent function with the componentfactory a the first argument an instance of a componentfactory resolved via componentfactoryresolver contained a reference to an ngmodule where the component is declared a a result the component maintained a di connection with the module injector tree by retrieving an instance of ngmoduleref internally even when the custom injector wa provided we try to find a token in a custom injector first and consult module injector after that with ivy we expanded the viewcontainerrefcreatecomponent function api to support direct reference to the component class without going through the factory resolution step a a result there wa no connection to the ngmodule that declares the component thus if you provide a custom injector this is the only injector that is taken into account this commit update the logic for the factoryless case to try retrieving an instance of an ngmoduleref using the di tree which viewcontainerref belongs to the ngmoduleref instance is then used to get a hold of a module injector tree this brings the factoryless and factorybased logic to more consistent state close pr close 	fix
68	compiler chain element startend instruction in template with several level of nested node it common for several elementstartelementend instruction to show up in a row which can be optimized away these change add chaining support for elementstart elementend elementcontainerstart and elementcontainerend to shave off some byte when possible pr close 	perf
69	compiler rework instruction generation logic for improved flexibility previously the logic for generating chained instruction wa somewhat rigid because we had to collect all of the call ahead of time and then call one of the chained instruction helper this doesnt work for something like elementstart because we have to descend into other element that could add to the chain these change refactor the code so that we collect the list of instruction in a flat array and we do the chaining only once at the end when we have the entire instruction set for the code block the new approach ha the advantage of being almost entirely configurationbased via the chainableinstructions array and being more flexible in allowing u to chain instruction that span across element pr close 	refactor
70	common mark lifecycle method a nodoc pr close 	docs
71	core drop all ngfactory and ngsummary import this commit update various place in the repo mostly testsexamples to drop all ngfactory and ngsummary import a they are no longer needed in ivy pr close 	refactor
72	form incorrectly keeping track of ngmodel with ngfor inside a form when an ngmodel is created within a form it receives an ngcontrol based on it name but the control doesnt get swapped out if the name change this can lead to problem if the ngmodel is part of an ngfor because the name can change based on it position in the list and a new control can be defined with the same name leading u to having multiple directive pointing to the same control for example if we start off with a list like ngmodel ngmodel ngmodel then we remove the second item ngmodel ngmodel and finally if we decide to add an item to the end of the list well already have a control for index causing the list to look like ngmodel ngmodel ngmodel these change fix the issue by removing the old control when the name of the directive change fix fix pr close 	fix
73	form update patternvalidator to inherit abstractvalidatordirective this commit update the patternvalidator class to inherit abstractvalidatordirective to make it conistent with other validators close angular pr close 	refactor
74	core input coercion breaking change form email input coercion form email input value will be considered a true if it is defined with any value rather than false and false pr close 	fix
75	compiler allow bananainabox binding to end with nonnull assertion for twowaybindings that use the bananainabox syntax the compiler synthesizes an event assignment expression from the primary expression it is valid for the primary expression to be terminated by the nonnull operator however naive string substitution is used for the synthesized expression such that the would immediately precede the token resulting in the valid operator token the expression would still parse correctly but it doesnt implement the proper semantics resulting in incorrect runtime behavior changing the expression substitution to force a space between the primary expression and the assignment avoids this mistake but it uncovers a new issue the grammar doe not allow for the lh of an assignment to be the nonnull operator so the synthesized expression would fail to parse to alleviate this the synthesized expression is parsed with a special parser flag to allow for this syntax fix pr close 	fix
76	docsinfra fix cosidered typo fix the cosidered typo which should be considered pr close 	docs
77	router clarify execution order for resolvers fix pr close 	docs
78	remove ie special status handling revert the condition a dev only pr close 	perf
79	core cleanup debugnode and debugelement implementation this commit update debugnode and debugelement implementaitons to cleanup viewengine removal artifact there is no need for a separate interface and implementation class so we can combine them now this comment also get rid of r suffix denoting ivy in helper method pr close 	refactor
80	common support year greater than since according to iso the year is minimum of digit we should support year greater than this is similar to the change in inputjs changed d to d pr close 	feat
81	devinfra convert nullish coalescing operator to plain javascript low version nodejs doesnt support nullish coalescing operator very well pr close 	refactor
82	form correct empty validator to handle object with a property length form required validator should not reject object that contain a length attribute set to zero fix coauthoredby dylan hunn dylhunngmailcom breaking change object with a length key set to zero will no longer validate a empty this is technically a breaking change since object with a key length and value will no longer validate a empty this is a very minor change and any reliance on this behavior is probably a bug anyway pr close 	fix
83	platformbrowser make transfer state key typesafe make statekey typesafe by narrowing the type breaking change this may break invalid call to transferstate method this tightens parameter type of transferstate usage and is a minor breaking change which may reveal existing problematic call pr close 	fix
84	router update navigationinitialurl to match documentation and reality breaking change the type of initialurl is set to stringurltree but in reality the router only set it to a value that will always be urltree initialurl is documented a the target url passed into the routernavigatebyurl call before navigation but the value actually get set to something completely different it set to the current internal urltree of the router at the time navigation occurs with this change there is no exact replacement for the old value of initialurl because it wa enver intended to be exposed routerurl is likely the best replacement for this in more specific usecases tracking the finalurl between successful navigation can also be used a a replacement pr close 	fix
85	animation implement missing transition delay fix the transition function accepting a delay in it animationoptions input but not acting on it by adding such delay to all the transition timeline note adding the delay to all the transition timeline is the only way to accomplish this since transition have their own logic and do not have their own timeline like other animation function have resolve pr close 	fix
86	docsinfra add type to all the aio example button add type to all the button in the angulario example to encourage the best practice of always including a type per button regardless to whether it is in a form or now pr close 	refactor
87	docsinfra remove outdated comment regarding customevent remove the comment present in aio example saying that for older browser such a ie customevent could be necessary a the the event constructor could be not available such comment are no longer necessaryrelevant since the event constructor is available for all the supported browser pr close 	refactor
88	docsinfra fix template eslint issue in aio example the aio example have various eslint issue regarding template rule those are currently turned off and todo comment have been added to them in the example eslintrc fix such issue and remove the respective todo comment this also includes example refactoring to use button for better accessibility this change try to make the smallest amound of change to the example behavior and designsui pr close 	refactor
89	animation add section about animating reordering list item add a section regarding reordering list item in the complex animation sequence guide to help developer rememeber to use a trackbyfunction whenever they are animating ngfor list item which change their ordering a suggested here relates to issue and pr close 	docs
90	router set stricter type for routetitle this commit change the type of routetitle property from string unknown to string typeresolvestring fix pr close 	feat
91	router move type from config and interface to model this commit move all type from configts and interfacests to modelsts to fix circular dependency pr close 	refactor
92	compilercli initial implementation of standalone component this commit implement the first phase of standalone component in the angular compiler this mainly includes the scoping rule for standalone component componentimports significant functionality from the design is not implemented by this pr including import of standalone component into ngmodules the provider aspect of standalone component future commits will address these issue a we proceed with the design of this feature pr close 	feat
93	compilercli extract template scoping logic into a function in preparation for standalone component this commit move the logic which determines the potential set of componentsdirectivespipes in a template into a separate function this is a simple but crucial refactoring that break the assumption that all template scope come from ngmodules pr close 	refactor
94	compilercli split the annotation package into subpackages previously each decoratorhandler in the compiler wa stored in a single file in the annotation package the componentdecoratorhandler in particular wa several thousand line long prior to implementing the new standalone functionality for component this commit refactors annotation to split these large file into their own build target with multiple separate file this should make the implementation of standalone significantly cleaner pr close 	refactor
95	compiler add suppress msgdescriptions if no description is present on an in message ref this happens if a user writes span inmessagespan this is accepted a an internationalized message but without a description jscompiler will throw an error in this situation because description are generally required now the angular compiler will generate a suppression annotation so jscompiler allows the syntax this will ease an internal migration to jscompilerbased in pr close 	refactor
96	devtools change link to the angular repo use proper reporting and source code link in the devtools ui pr close 	fix
97	upgrade do not trigger duplicate navigation event from angular router this code mimic behavior that google analytics ha been using to prevent duplicate navigation they set up their own hybridroutingservice location sync to avoid duplicate navigation that came from the angular router this would happen because the angular router would trigger a navigation which would then get picked up by the locationshim which would trigger a locationchangestart which would then be picked up by the setuplocationsync watcher here which would again trigger a navigation in the angular router all of this can be prevented by checking if the navigationid exists on the history state object this property is added by the angular router during navigation fix pr close 	fix
98	upgrade update router upgrade test to use fewer mock this update the router upgrade test to use le mocked behavior the test upgrade location module is copied from the one thats used in the common package this update to the test verifies more real behavior of the upgrade module pr close 	test
99	platformbrowser do not run change detection when loading hammer the hammerjs might be loaded asynchronously if the hammerloader token is provided it loading cause additional change detection cycle when the script load event is fired and the import promise resolve it loading doesnt have to require angular running tick since the hammer instance is created outside of the angular zone anyway breaking change this change may cause a breaking change in unit test that are implicitly depending on a specific number and sequence of change detection in order for their assertion to pas pr close 	fix
100	docsinfra upgrade cli command doc source to becba updating angularmaster from clibuildsmaster relevant change in commit range modified helpbuildjson helptestjson pr close 	build
101	form update the typed form migration to use formarrayt instead of formarrayt previously formarray accepted an array generic now it accepts the element type so the migration must be update accordingly pr close 	fix
102	compilercli ensure casing of logical path is preserved the logical filesystem would store a cached result based on the canonical path where the cached value contains the physical path that wa originally provided this meant that other physical path with an identical canonical path would use a cached result derived from another physical path this inconsistency is not known to result in actual issue but is primarily being made a a performance improvement a using the provided physical path a cache key avoids the need to canonicalize the path if it result is already cached pr close 	fix
103	compilercli use relative import into dts file a fallback in typecheck file the generated import should normally use module specifier that are valid for use in production code where arbitrary relative import into eg nodemodules are not allowed for template typechecking code it is however acceptable to use relative import a such file are never emitted to j code it is desirable to allow a filesystem relative import a fallback if an import would otherwise fail to be generated a doing so allows fewer situation from needing an inline type constructor pr close 	refactor
104	compiler remove viewengine identifier this commit remove the leftover identifier class that wa used in the viewengine compiler the remaining usage of the inlineinterpolate and interpolate instruction were refactored to make use of an interpolationexpression output expression to capture the argument list of an interpolation expression an attempt wa made to refactor this further by converting to the desired interpolation instruction immediately but some downstream consumer are designed in a way where the argument list itself is needed eg a other argument need to be prependedappended pr close 	refactor
105	router use resolve interface for custom title resolver pr close 	docs
106	router provide better typing for resolver example pr close 	docs
107	common include query parameter for open http request in verify when httptestingcontrollerverify is used to verify that there are not open unexpected request it would throw an error with the method and url of all pending request excluding the query parameter this is confusing a eg expectone match a url including it query parameter and expectone doe include the query parameter when it report when no request could be matched this commit change the error that is reported by verify to include the query parameter close pr close 	fix
108	devtools highlighter should only show the hovered component name the used child property on a htmlcollection doe not contain text element because of this the highlighter overlay text never got fully cleared pr close 	fix
109	common support ngmodule a an input to the ngcomponentoutlet this commit update the logic of the ngcomponentoutlet class to allow passing an ngmodule a an input instead of passing an ngmodule factory deprecated the ngmodulefactory input of the ngcomponentoutlet directive is deprecated in favor of a newly added ngmodule input the ngmodule input accepts reference to the ngmodule class directly without the need to resolve module factory first pr close 	feat
110	compilercli remove leftover extendedtemplatediagnostics flag this flag is currently a noop because extended diagnostics are enabled in production pr close 	refactor
111	migration remove old migration when using ng update user can not update multiple major version at the same time therefore migration that are not targeting version can not be run and therefore we are removing them pr close 	refactor
112	core the runtimeerror class should support more compact syntax this commit refactors the runtimeerror class to support a short version of providing error message throw new runtimeerror runtimeerrorcodeinjectoralreadydestroyed ngdevmode injector ha already been destroyed in prod mode the second argument becomes false andn this commit extends the typing to support that this commit also contains a couple place were the runtimeerror class is used to demostrate the compact form pr close 	refactor
113	compiler remove parsing support for quote expression socalled quote expression were added in becbadfbcfacfabdef to support foreign syntax to be used in angular template requiring a custom template transform to convert them somehow during compilation support for template transforms wa originally implemented in aedeedecaadeabedcc but ha since been dropped since the compiler is not public api the quote expression should not have any usage anymore removing support for them can improve error reporting for expression that contain a eg binding to a url without quote html a href mea here would be parsed a foreign quote expression with googlecom a value later reporting the error quote are not supported for evaluation because there wa no template transform to convert that code close pr close 	refactor
114	form move formcontrol to an overridden exported constructor this implementation change wa originally proposed a part of typed form and will have major consequence for that project a described in the design doc submitting it separately will greatly simplify the risk of landing typed form this change should have no visible impact on normal user of formcontrol see the typed form design doc here pr close pr close 	refactor
115	compilercli remove unused canonicalpath dependency this package is no longer used within compilercli so is being removed a a dependency pr close 	refactor
116	core add back support for namespace uris in createelement of dom renderer support for namespace uris rather than short namespace name wa added in to support how ivy passed around the namespace uri rather than short name at the time a a sideeffect this meant that namespace uris were supported by the default dom renderer a part of the public api likely unintentionally it did not however extend the support to other part of the system setattribute setattribute and the serverrenderer in the future we should decide what exactly the semantics for dealing with namespaces should be and make it consistent fix pr close 	fix
117	core strict template typechecking compatibility for perf test this commit update a type used in the transplanted view perf test to make the test compatible with strict template typechecking currently compiling the perf test result in the following t error error t type templateref is not assignable to type templaterefngforofcontextany any ngcontainer ngforlet n of view template template trackby trackbyindexngcontainer pr close 	refactor
118	form ensure onpush ancestor are marked dirty when the promise resolve currently ngmodel call setvalue after the resolvedpromise is resolved the promise is resolved after the child template executes the change detection is run but onpush view are not updated because they are not marked a dirty pr close 	fix
119	core flush delayed scoping queue while setting up testbed previously some ngmodules that were added to the delayed scoping queue never got removed from the queue before unit test execution that resulted in some component declared in those ngmodules missing their scope which componentsdirectivespipes were matched this commit add the logic to invoke delayed scoping queue flushing before starting a test to avoid missingincomplete scope for component used in a test pr close 	fix
120	animation remove no longer needed csskeyframes class this commit remove cs keyframesbased code that wa used to support animation in old browser with ie deprecation all supported browser have native webanimations support so the old code can be removed this result in kb decrease of the animation package bundle size since most of the code wa nontreeshakable close pr close 	perf
121	compilercli enable nullish coalescing check only with strictnullchecks typescript configures strictnullchecks to be disabled by default so the nullish coalescing check should follow the same default the rule actively depends on strictnullchecks a typescript doesnt include nullundefined in it type otherwise so the check wouldnt have a way to differentiate between them this commit also take the strict flag into account when strictnullchecks itself is not configured pr close 	fix
122	compilercli accept nullish coalescing operator for any and unknown type we should not make assumption about the any and unknown type using a nullish coalescing operator is acceptable for those pr close 	fix
123	core showcase host listener support for specific key in event pr close 	docs
124	animation remove generic object in favor of map we were using a number of generic object a if they were map and relying on delete to remove property in order to improve performance these have been switched to native map pr close 	perf
